Experiment Name = RAA_2-27_07_18_2
raa_2_Set_temps =87 
raa_2_Set_H2O2 = 15
raa_2_electrode = ['BASi_Old100um']
Equation=['4.8729x-0.0461']
Time,temp,raa2_conc_raw,raa2_conc_ave,current,raa2_pump
2018-07-26-15-30-43-694,0.0,nan,0.0,nan,0
2018-07-26-15-30-53-817,0.0,nan,0.0,nan,0
2018-07-26-15-31-04-276,0.0,nan,0.0,nan,0
2018-07-26-15-31-14-388,0.0,nan,0.0,nan,0
2018-07-26-15-31-24-500,0.0,nan,0.0,nan,0
2018-07-26-15-31-34-845,0.0,-0.157,-0.157,0.0,0
2018-07-26-15-31-44-977,0.0,-0.157,-0.157,nan,0
2018-07-26-15-31-55-94,0.0,-0.096,-0.126,0.0,1
2018-07-26-15-32-05-412,0.0,-0.117,-0.123,0.0,1
2018-07-26-15-32-15-526,0.0,-0.117,-0.123,nan,0
